service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1000,1,1,1,1,1,0,0,20140126,20140607
1021,0,1,0,1,0,0,0,20140126,20140607
1022,0,0,0,0,1,0,0,20140126,20140607
1028,1,0,1,0,1,0,0,20140126,20140607
1029,0,0,0,1,1,0,0,20140113,20140502
1047,1,1,1,1,1,0,0,20140112,20140502
1049,1,1,1,1,1,0,0,20140505,20140513
1051,0,0,0,0,0,0,0,20140126,20140607
1123,1,1,1,1,0,0,0,20140113,20140501
1124,0,0,0,0,1,0,0,20140117,20140502
1133,1,1,1,1,0,0,0,20140126,20140607
1134,0,0,0,0,1,0,0,20140126,20140607
1140,0,0,0,1,0,0,0,20140126,20140607
1141,0,0,1,0,0,0,0,20140126,20140607
1142,1,0,0,0,0,0,0,20140126,20140607
1999,0,1,1,1,0,0,0,20140126,20140607
2200,0,0,0,0,0,0,0,20140126,20140607
4000,0,0,0,0,0,1,0,20140126,20140607
4030,0,0,0,0,0,1,0,20140126,20140607
4049,0,0,0,0,0,1,0,20140510,20140510
4155,0,0,0,0,0,1,0,20140126,20140607
4156,1,1,1,1,1,1,0,20140310,20140315
4207,0,0,0,0,0,1,0,20140117,20140502
5000,0,0,0,0,0,0,1,20140126,20140607
5999,0,0,0,0,0,0,1,20140126,20140511
