service_id,date,exception_type
1000,20140526,2
1133,20140310,2
1133,20140311,2
1133,20140312,2
1133,20140313,2
1133,20140526,2
1134,20140314,2
1142,20140526,2
2200,20140526,1
1051,20140310,1
1051,20140311,1
1051,20140312,1
1051,20140313,1
1051,20140314,1
1051,20140514,1
1051,20140515,1
1051,20140516,1
1051,20140519,1
1051,20140520,1
1051,20140521,1
1051,20140522,1
1051,20140523,1
1051,20140527,1
1051,20140528,1
1051,20140529,1
1051,20140530,1
1051,20140602,1
1123,20140310,2
1123,20140311,2
1123,20140312,2
1123,20140313,2
1124,20140314,2
4155,20140315,2
5999,20140309,2

