route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,,1,South Congress/Metric,,3,http://www.capmetro.org/schedulemap.aspx?f1=001,0033FF,FFFFFF
2,,2,Rosewood,,3,http://www.capmetro.org/schedulemap.aspx?f1=002,0033FF,FFFFFF
3,,3,Burnet/Manchaca,,3,http://www.capmetro.org/schedulemap.aspx?f1=003,0033FF,FFFFFF
4,,4,Montopolis,,3,http://www.capmetro.org/schedulemap.aspx?f1=004,0033FF,FFFFFF
5,,5,Woodrow/South 5th,,3,http://www.capmetro.org/schedulemap.aspx?f1=005,0033FF,FFFFFF
6,,6,East 12th,,3,http://www.capmetro.org/schedulemap.aspx?f1=006,0033FF,FFFFFF
7,,7,Duval / Dove Springs,,3,http://www.capmetro.org/schedulemap.aspx?f1=007,0033FF,FFFFFF
10,,10,South 1st/Red River,,3,http://www.capmetro.org/schedulemap.aspx?f1=010,0033FF,FFFFFF
17,,17,Cesar Chavez,,3,http://www.capmetro.org/schedulemap.aspx?f1=017,0033FF,FFFFFF
18,,18,Martin Luther King,,3,http://www.capmetro.org/schedulemap.aspx?f1=018,0033FF,FFFFFF
19,,19,Bull Creek,,3,http://www.capmetro.org/schedulemap.aspx?f1=019,0033FF,FFFFFF
20,,20,Manor Rd/Riverside,,3,http://www.capmetro.org/schedulemap.aspx?f1=020,0033FF,FFFFFF
21,,21,Exposition,,3,http://www.capmetro.org/schedulemap.aspx?f1=021,0033FF,FFFFFF
22,,22,Chicon,,3,http://www.capmetro.org/schedulemap.aspx?f1=022,0033FF,FFFFFF
30,,30,Barton Creek Sq,,3,http://www.capmetro.org/schedulemap.aspx?f1=030,0033FF,FFFFFF
37,,37,Colony Park/Windsor Park,,3,http://www.capmetro.org/schedulemap.aspx?f1=037,0033FF,FFFFFF
100,,100,MetroAirport,,3,http://www.capmetro.org/schedulemap.aspx?f1=100,FFFF00,000000
103,,103,Manchaca Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=103,FFFF00,000000
110,,110,South Central Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=110,FFFF00,000000
111,,111,South Mopac Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=111,FFFF00,000000
122,,122,Four Points Limited,,3,http://www.capmetro.org/schedulemap.aspx?f1=122,FFFF00,000000
127,,127,Dove Springs Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=127,FFFF00,000000
135,,135,Dell Limited,,3,http://www.capmetro.org/schedulemap.aspx?f1=135,FFFF00,000000
142,,142,Metric Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=142,FFFF00,000000
171,,171,Oak Hill Flyer,,3,http://www.capmetro.org/schedulemap.aspx?f1=171,FFFF00,000000
201,,201,Southpark Meadows,,3,http://www.capmetro.org/schedulemap.aspx?f1=201,9900FF,000000
214,,214,Northwest Flex,,3,http://www.capmetro.org/schedulemap.aspx?f1=214,9900FF,000000
228,,228,Burleson,,3,http://www.capmetro.org/schedulemap.aspx?f1=228,9900FF,000000
238,,238,Westgate,,3,http://www.capmetro.org/schedulemap.aspx?f1=238,9900FF,000000
240,,240,Rutland,,3,http://www.capmetro.org/schedulemap.aspx?f1=240,9900FF,000000
243,,243,Wells Branch,,3,http://www.capmetro.org/schedulemap.aspx?f1=243,9900FF,000000
271,,271,Del Valle Flex,,3,http://www.capmetro.org/schedulemap.aspx?f1=271,9900FF,000000
275,,275,North Lamar Feeder,,3,http://www.capmetro.org/schedulemap.aspx?f1=275,9900FF,000000
300,,300,Govalle,,3,http://www.capmetro.org/schedulemap.aspx?f1=300,33FF00,000000
311,,311,Stassney,,3,http://www.capmetro.org/schedulemap.aspx?f1=311,33FF00,000000
320,,320,St Johns,,3,http://www.capmetro.org/schedulemap.aspx?f1=320,33FF00,000000
323,,323,Anderson,,3,http://www.capmetro.org/schedulemap.aspx?f1=323,33FF00,000000
325,,325,Ohlen,,3,http://www.capmetro.org/schedulemap.aspx?f1=325,33FF00,000000
331,,331,Oltorf,,3,http://www.capmetro.org/schedulemap.aspx?f1=331,33FF00,000000
333,,333,William Cannon,,3,http://www.capmetro.org/schedulemap.aspx?f1=333,33FF00,000000
338,,338,Lamar/45th,,3,http://www.capmetro.org/schedulemap.aspx?f1=338,33FF00,000000
350,,350,Airport Blvd,,3,http://www.capmetro.org/schedulemap.aspx?f1=350,33FF00,000000
383,,383,Research,,3,http://www.capmetro.org/schedulemap.aspx?f1=383,33FF00,000000
392,,392,Braker,,3,http://www.capmetro.org/schedulemap.aspx?f1=392,33FF00,000000
410,,410,E,,3,http://www.capmetro.org/schedulemap.aspx?f1=410,669999,000000
411,,411,E,,3,http://www.capmetro.org/schedulemap.aspx?f1=411,669999,000000
412,,412,E,,3,http://www.capmetro.org/schedulemap.aspx?f1=412,669999,000000
464,,464,MLK Jr/Capitol,,3,http://www.capmetro.org/schedulemap.aspx?f1=464,CCFFFF,000000
465,,465,MLK/University of Texas,,3,http://www.capmetro.org/schedulemap.aspx?f1=465,CCFFFF,000000
466,,466,Kramer/Domain,,3,http://www.capmetro.org/schedulemap.aspx?f1=466,CCFFFF,000000
481,,481,Night Owl North Lamar,,3,http://www.capmetro.org/schedulemap.aspx?f1=481,669999,000000
483,,483,Night Owl Riverside,,3,http://www.capmetro.org/schedulemap.aspx?f1=483,669999,000000
484,,484,Night Owl South Lamar,,3,http://www.capmetro.org/schedulemap.aspx?f1=484,669999,000000
485,,485,Night Owl Cameron,,3,http://www.capmetro.org/schedulemap.aspx?f1=485,669999,000000
486,,486,Night Owl South Congress,,3,http://www.capmetro.org/schedulemap.aspx?f1=486,669999,000000
490,,490,HEB Shuttle,,3,http://www.capmetro.org/schedulemap.aspx?f1=490,669999,000000
491,,491,Allandale,,3,http://www.capmetro.org/schedulemap.aspx?f1=491,669999,000000
492,,492,Delwood,,3,http://www.capmetro.org/schedulemap.aspx?f1=492,669999,000000
550,,550,Metro Rail Red Line,,2,http://www.capmetro.org/schedulemap-rail.aspx?f1=550,E60000,FFFFFF
