stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
66,66,4925 CRAIGWOOD/FM 969,Southeast corner of CRAIGWOOD and FM 969 - Nearside,30.284171,-97.659854,,http://www.capmetro.org/gismaps/stops/66.html,,,,0
252,252,200 TRINITY/2ND,Northeast corner of TRINITY and 2ND - Mid-Block,30.263842,-97.740427,,http://www.capmetro.org/gismaps/stops/252.html,,,,0
462,462,851 RUTLAND/PARK VILLAGE,Southeast corner of RUTLAND and PARK VILLAGE - Mid-Block,30.36547,-97.69752,,http://www.capmetro.org/gismaps/stops/462.html,,,,0
466,466,8740 LAMAR/PAYTON GIN,Southwest corner of LAMAR and PAYTON GIN - Mid-Block,30.356809,-97.701066,,http://www.capmetro.org/gismaps/stops/466.html,,,,0
467,467,8630 LAMAR/FAIRFIELD,Southwest corner of LAMAR and FAIRFIELD - Farside,30.355296,-97.703128,,http://www.capmetro.org/gismaps/stops/467.html,,,,0
468,468,LAMAR/THURMOND,Southwest corner of LAMAR and THURMOND - Farside,30.353139,-97.706082,,http://www.capmetro.org/gismaps/stops/468.html,,,,0
469,469,8320 LAMAR/MEADOWLARK,Northwest corner of LAMAR and MEADOWLARK - Nearside,30.352256,-97.707295,,http://www.capmetro.org/gismaps/stops/469.html,,,,0
471,471,7720 LAMAR/STOBAUGH,Southwest corner of LAMAR and STOBAUGH - Mid-Block,30.34604,-97.71394,,http://www.capmetro.org/gismaps/stops/471.html,,,,0
472,472,7520 LAMAR/MORROW,Southwest corner of LAMAR and MORROW - Mid-Block,30.343134,-97.715656,,http://www.capmetro.org/gismaps/stops/472.html,,,,0
474,474,6814 LAMAR/JUSTIN,Southwest corner of LAMAR and JUSTIN - Farside,30.336206,-97.720008,,http://www.capmetro.org/gismaps/stops/474.html,,,,0
475,475,6600 LAMAR/BRENTWOOD,Northwest corner of LAMAR and BRENTWOOD - Nearside,30.33411,-97.721323,,http://www.capmetro.org/gismaps/stops/475.html,,,,0
476,476,6200 LAMAR/DENSON,Northwest corner of LAMAR and DENSON - Nearside,30.330425,-97.723636,,http://www.capmetro.org/gismaps/stops/476.html,,,,0
478,478,5900 LAMAR/OLD KOENIG,Northwest corner of LAMAR and OLD KOENIG - Nearside,30.327928,-97.725215,,http://www.capmetro.org/gismaps/stops/478.html,,,,0
